Position,Relative_position,Mag_Sus,MSE,Incoherence,Coherence,Inc/Coh,Al,Si,Si/TI,P,S,Cl,Ar,K,Ca,Ti,Mn,Mn/Ti,Fe,Fe/Ti,Fe/S,Co,Ni,Cu,Zn,Ga,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Pd,Cd,In,Sn,Sb,Cs,Ba,La,Pr,Nd,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Hf,W,Re,Os,Au,Hg,Pb,Bi,Po,At,Ra,Ac,Th,U
196,247.41,45.01,1.54,22875,56212,0.406941578,338,3681,0.120290187,76,380,60,3849,30058,29690,30601,1077,0.035194928,191361,6.253423091,503.5815789,1206,94,0,499,80,725,0,376,564,82,311,31,92,0,4,422,129,291,100,1194,308,659,641,1270,346,1489,403,348,288,343,77,0,0,0,85,138,148,0,0,0,0,0,285,218,99
196.5,247.91,NaN,1.34,21545,53416,0.403343567,359,3823,0.132196826,39,389,63,3734,29328,27155,28919,559,0.019329852,188284,6.510736886,484.0205656,1120,88,0,331,70,758,77,524,589,105,384,54,150,40,119,143,145,302,141,1097,352,648,787,1367,349,1274,341,453,290,429,0,0,0,0,27,46,156,0,28,0,14,0,340,183,86
197,248.41,NaN,1.42,21323,54050,0.394505088,301,3571,0.124299488,29,380,31,3826,28765,26683,28729,808,0.028124891,174747,6.082599464,459.8605263,1195,45,0,312,100,950,0,475,559,69,212,106,118,11,24,364,195,216,123,1110,336,661,645,1322,312,1482,250,374,184,379,60,20,0,0,29,122,176,0,65,133,85,105,529,136,0
197.5,248.91,NaN,1.59,21345,55791,0.38258859,333,4081,0.131960163,72,473,55,3891,30914,29438,30926,1315,0.042520856,184347,5.96090668,389.7399577,1142,115,0,511,77,864,51,513,532,44,132,28,0,24,44,407,46,447,121,1218,429,635,628,959,525,1405,512,339,209,391,0,85,0,0,0,183,230,0,150,0,0,0,539,183,62
198,249.41,45.48,1.41,21085,58262,0.361899694,403,4291,0.140766985,43,481,32,3628,31000,30362,30483,968,0.031755405,184952,6.067381819,384.5155925,1173,48,10,306,44,711,0,385,542,19,149,31,184,5,51,106,297,249,96,1117,354,719,734,1098,359,946,422,350,202,298,54,25,0,0,0,0,78,0,60,110,0,0,393,30,0
198.5,249.91,NaN,1.6,23219,58365,0.397824038,376,3534,0.131959225,47,435,65,3751,25934,25600,26781,404,0.015085322,172450,6.439266644,396.4367816,1013,18,0,399,58,452,70,461,570,56,386,16,39,48,47,304,273,297,123,1171,480,704,555,1246,357,1484,212,446,202,536,60,109,0,0,48,117,184,290,39,42,48,0,132,80,133
199,250.41,NaN,1.65,23051,55673,0.414042714,269,3010,0.116702854,79,350,50,3785,24737,25174,25792,858,0.033266129,170030,6.592354218,485.8,1163,64,0,282,125,917,12,462,557,62,81,13,0,18,0,406,14,295,134,1151,439,651,786,1331,270,1420,412,451,211,496,150,24,0,0,0,190,19,0,0,0,0,0,535,99,0
199.5,250.91,NaN,1.66,25300,59673,0.423977343,332,3446,0.124950143,37,380,55,3620,26294,26941,27579,795,0.028826281,176351,6.394394286,464.0815789,1239,0,0,449,58,503,115,432,533,38,449,13,85,63,0,371,44,372,89,1151,432,728,700,1373,210,1332,382,465,126,561,55,60,0,0,40,129,214,261,59,0,0,0,0,101,191
200,251.41,46,1.55,24078,57429,0.419265528,391,3690,0.127219445,0,455,59,3774,27911,29329,29005,1195,0.041199793,184453,6.359351836,405.3912088,1308,72,0,464,38,798,0,428,587,119,190,42,81,0,21,217,123,399,89,1002,555,567,363,1186,402,1437,336,366,158,441,0,30,8,0,12,67,144,0,146,189,85,84,407,206,0
200.5,251.91,NaN,1.69,23667,57871,0.408961311,406,3637,0.120578192,75,484,49,3524,29089,29817,30163,1017,0.033716805,197830,6.558697742,408.7396694,1268,30,0,454,10,662,0,491,708,23,345,99,126,27,34,227,213,341,182,1165,444,785,618,1618,478,1304,400,318,117,423,88,84,0,0,0,136,200,0,0,0,0,34,221,307,52
201,252.41,NaN,1.58,22079,60224,0.366614639,327,3665,0.117660278,53,473,61,3619,29033,31803,31149,1249,0.040097595,203926,6.546791229,431.1331924,1411,127,0,300,0,931,0,444,545,117,134,71,205,19,31,373,163,360,129,1098,438,602,615,1963,561,1260,506,248,140,270,0,31,0,5,0,77,0,0,0,0,0,0,560,189,112
201.5,252.91,NaN,1.49,23984,58605,0.409248358,293,3169,0.109737516,42,394,41,3583,26272,28708,28878,1069,0.037017799,184241,6.379977838,467.6167513,933,0,0,314,78,592,13,600,544,13,165,47,49,64,66,0,405,400,95,1180,443,568,534,1457,332,1379,319,380,98,378,0,81,0,0,27,7,98,14,0,0,0,51,202,200,78
202,253.41,46.85,1.3,22653,58159,0.389501195,259,3059,0.105902718,61,414,42,3834,26740,27633,28885,1323,0.04580232,181821,6.294651203,439.1811594,1211,70,0,328,82,648,0,377,573,44,247,7,79,13,46,100,234,353,90,1134,476,767,604,1284,279,1219,492,513,305,341,0,0,47,33,28,119,85,45,115,117,0,124,301,82,36
202.5,253.91,NaN,1.63,23706,58503,0.405209989,356,3898,0.12827854,52,376,20,3431,29805,31364,30387,1072,0.035278244,194297,6.394082996,516.7473404,1071,135,0,264,12,733,19,447,565,90,276,52,130,51,0,332,123,363,165,1236,393,640,449,1586,411,2100,536,348,249,302,0,0,0,0,0,119,107,0,23,43,9,0,284,145,23
203,254.41,NaN,1.56,22691,61150,0.371071137,373,3788,0.128172159,55,424,77,3449,29697,29668,29554,1377,0.046592678,196345,6.643601543,463.0778302,1412,94,0,424,80,610,0,413,593,40,412,61,69,0,59,128,289,310,125,1201,428,670,839,744,485,1230,555,399,248,310,5,0,0,0,59,49,189,170,40,39,0,30,75,108,0
203.5,254.91,NaN,1.63,23950,63132,0.379363873,346,3556,0.119843624,52,353,53,3623,28569,28767,29672,1529,0.051530062,196820,6.633189539,557.5637394,1280,102,0,260,79,607,66,396,601,11,418,0,98,4,24,292,208,209,118,1149,458,691,739,1304,528,1111,601,375,338,304,108,0,0,20,50,122,170,111,124,0,0,0,145,101,71
204,255.41,47.36,1.75,25916,61701,0.420025607,283,3800,0.128687053,85,440,38,3764,29331,29930,29529,1336,0.045243659,183046,6.198855363,416.0136364,1160,101,0,411,101,594,0,424,587,95,414,25,129,55,36,213,271,420,171,1328,525,628,305,1388,495,1545,591,276,175,337,174,73,0,0,19,200,184,269,67,54,0,0,15,211,0
204.5,255.91,NaN,1.5,21634,60839,0.355594273,368,4221,0.133741009,49,359,16,3842,31857,32464,31561,1101,0.034884826,167701,5.313551535,467.1337047,1338,156,0,500,94,870,0,420,671,99,364,45,106,31,0,100,405,294,60,1050,464,631,965,578,275,1041,334,519,217,590,7,180,40,0,29,94,235,0,86,140,58,0,353,102,0
205,256.41,NaN,1.23,23170,60853,0.380753619,429,4737,0.143846224,102,407,90,3715,33722,35290,32931,1627,0.049406334,158503,4.813185145,389.4422604,1085,86,0,475,68,607,0,504,690,23,573,0,199,56,114,220,246,470,190,1266,403,633,561,514,438,1160,343,354,350,402,66,0,0,0,24,68,131,358,0,0,0,50,0,49,25
205.5,256.91,NaN,1.34,22472,61303,0.366572598,415,5001,0.150252374,54,372,58,3598,35185,37120,33284,935,0.028091576,147467,4.43056724,396.4166667,984,0,0,424,77,896,68,481,694,104,380,9,74,27,37,356,110,343,53,1184,445,605,598,1338,23,1265,444,591,219,519,153,16,0,0,6,66,158,0,76,0,0,20,515,127,38
206,257.41,48.19,1.22,22793,59084,0.385772798,371,4807,0.145980746,58,413,57,3948,35276,34860,32929,1700,0.051626226,142133,4.316347293,344.1476998,1090,117,13,433,100,1091,0,477,935,71,387,13,82,0,55,273,197,383,167,1259,486,668,661,506,289,926,361,395,249,371,16,66,70,0,68,0,119,0,14,149,172,47,460,84,0
206.5,257.91,NaN,1.34,22785,60648,0.375692521,434,4941,0.152745147,49,497,94,3816,34984,34142,32348,1055,0.032614072,142382,4.401570422,286.4828974,1088,55,0,291,77,940,17,478,769,105,599,91,6,37,30,341,200,348,81,1157,428,662,555,1045,181,895,383,470,200,501,230,108,0,10,0,146,215,48,25,64,21,136,186,196,105
207,258.41,NaN,1.22,22283,59558,0.374139494,455,4991,0.150394745,63,493,33,3877,35791,33988,33186,638,0.019224974,135493,4.082836136,274.8336714,1000,83,0,491,47,831,0,617,991,65,516,67,0,0,36,335,170,298,25,1173,278,602,630,1053,68,872,356,410,161,389,0,93,132,0,39,0,177,185,39,50,88,0,82,113,34
207.5,258.91,NaN,1.21,22398,64187,0.348949164,483,5516,0.160961802,46,487,62,3887,38111,37996,34269,925,0.026992325,124220,3.624850448,255.0718686,876,20,0,442,133,886,0,567,1007,57,685,18,117,0,28,241,361,328,120,1234,555,578,661,1093,0,1037,201,653,203,634,103,126,0,0,0,124,70,77,0,148,0,40,192,48,39
208,259.41,52.23,1.18,22251,63064,0.352832044,473,5551,0.160012683,67,417,61,3864,38639,37579,34691,1525,0.043959528,120620,3.476982503,289.2565947,925,140,66,412,171,820,89,637,963,95,757,111,30,0,87,350,269,258,90,1086,369,772,651,738,128,929,334,481,267,327,63,84,0,0,0,58,92,0,23,0,0,15,140,222,140
208.5,259.91,NaN,1.3,21969,63365,0.346705595,454,5638,0.16235206,74,442,44,3888,38659,36215,34727,725,0.020877127,122045,3.514412417,276.1199095,843,34,0,498,74,778,0,618,885,151,724,0,65,29,24,102,402,482,79,1277,452,599,666,1201,23,794,315,385,106,409,120,86,0,0,0,27,89,191,0,62,8,0,116,108,85
209,260.41,NaN,1.38,22817,61537,0.370785056,395,5512,0.159791274,40,468,55,3823,37675,34746,34495,523,0.015161618,125346,3.633744021,267.8333333,988,89,0,368,75,1103,14,618,930,108,510,34,0,0,87,302,212,324,34,1310,463,683,544,943,82,917,197,446,140,555,0,59,0,0,0,50,59,0,25,15,0,0,561,98,86
209.5,260.91,NaN,1.13,22163,61565,0.359993503,533,5446,0.152020992,91,497,43,3815,38106,34068,35824,1136,0.031710585,128457,3.585780482,258.4647887,781,28,43,247,91,1062,0,466,864,180,753,82,61,9,50,210,374,347,113,1315,404,623,784,1110,0,975,404,565,323,358,120,0,0,124,0,102,78,0,0,150,0,0,254,105,123
210,261.41,57.78,1.42,20795,63063,0.329749615,487,5726,0.158579816,32,479,65,3701,38928,35627,36108,1546,0.042815996,123690,3.425556663,258.2254697,790,151,0,491,119,717,0,663,851,113,866,47,55,13,118,352,251,380,134,1473,550,593,1002,473,75,1220,344,561,282,410,0,82,68,0,22,36,197,376,57,0,34,57,0,90,58
210.5,261.91,NaN,1.28,23613,64733,0.364775308,476,5689,0.159727097,78,460,82,3804,39434,35572,35617,1073,0.030126063,121212,3.403206334,263.5043478,822,136,0,587,121,747,0,595,1014,102,763,134,46,41,73,597,155,441,173,1479,552,463,502,836,184,1116,366,556,281,485,20,58,48,0,23,65,250,146,102,118,23,0,151,89,0
211,262.41,NaN,1.36,21687,62638,0.34622753,451,5652,0.155274725,67,427,67,3610,38987,37026,36400,1004,0.027582418,118932,3.267362637,278.529274,814,117,0,625,77,688,0,632,975,156,673,154,71,21,79,439,222,472,179,1504,344,729,900,1251,115,926,313,433,137,355,11,32,0,0,0,0,109,122,0,54,137,0,162,123,5
211.5,262.91,NaN,1.16,22816,60518,0.377011798,486,5478,0.154518786,37,431,28,3798,38614,35912,35452,758,0.021381022,121636,3.431005303,282.2180974,893,10,0,362,89,620,0,666,998,130,695,5,0,36,44,225,271,335,62,1100,502,501,433,614,110,944,204,415,152,467,198,50,0,19,0,32,61,88,0,0,63,36,117,207,128
212,263.41,58.22,1.25,22565,61263,0.368329987,474,5484,0.152808738,43,408,66,3589,38188,35953,35888,880,0.024520731,129952,3.621043246,318.5098039,796,0,0,411,6,504,0,700,1017,139,838,66,22,27,35,538,112,357,114,1437,407,587,541,910,115,1213,310,458,209,392,129,0,0,0,0,38,69,360,0,0,0,0,0,69,136
212.5,263.91,NaN,1.69,23285,59989,0.388154495,507,5377,0.151841184,53,496,38,3684,37943,35784,35412,976,0.027561279,129233,3.649412628,260.5504032,791,71,90,300,0,1118,0,699,906,121,605,52,145,60,117,842,0,542,134,1550,320,611,756,1073,100,1579,444,490,360,96,62,0,0,94,0,0,0,0,23,58,106,65,597,0,0
213,264.41,NaN,1.82,23799,60477,0.393521504,440,5236,0.146179402,98,568,95,3908,37241,36310,35819,1456,0.040648818,129712,3.621318295,228.3661972,812,99,80,430,11,988,0,667,962,160,653,153,0,22,94,1092,0,388,200,1677,408,615,721,1646,91,1977,395,572,209,265,0,9,0,0,0,86,93,0,14,202,95,74,406,150,58
213.5,264.91,NaN,1.3,23499,59357,0.39589265,433,4880,0.133289632,54,525,90,3718,37533,37301,36612,916,0.025019119,130017,3.551212717,247.6514286,651,19,48,409,40,902,24,639,965,184,540,109,0,49,35,720,0,471,133,1568,325,623,749,1573,16,1923,136,603,226,319,0,0,0,55,0,55,74,0,66,0,0,0,466,71,69
214,265.41,55.06,1.55,25121,59307,0.423575632,386,4580,0.128492874,53,517,133,3745,36597,36785,35644,1509,0.042335316,135833,3.810823701,262.7330754,811,113,36,337,32,1115,0,689,789,114,537,104,87,0,112,767,0,558,153,1552,444,512,432,1234,121,1883,379,594,303,226,0,0,0,33,0,40,0,0,0,53,40,0,482,152,38
214.5,265.91,NaN,1.84,23774,62398,0.381005801,459,4480,0.127232967,117,606,111,3628,35157,37198,35211,894,0.025389793,141558,4.020277754,233.5940594,772,104,79,464,56,1032,0,597,880,107,377,102,36,0,118,790,88,500,142,1615,252,766,803,953,74,2343,319,555,300,166,0,0,65,0,21,0,106,0,54,94,0,0,529,222,0
215,266.41,NaN,1.86,25843,60807,0.425000411,410,4225,0.121035895,10,636,89,3598,34324,37469,34907,1272,0.036439683,145854,4.178359641,229.3301887,744,97,0,531,47,854,0,552,866,105,623,50,0,15,37,629,6,367,128,1669,375,581,483,2064,0,2118,187,523,170,271,0,0,71,0,0,0,159,70,0,91,48,63,231,164,18
215.5,266.91,NaN,1.78,25136,61009,0.412004786,389,4456,0.128156457,76,584,94,3501,34082,37701,34770,1101,0.031665229,147781,4.250244464,253.0496575,803,36,0,618,116,1175,18,672,768,99,392,84,71,72,137,523,11,579,180,1572,412,592,750,1693,0,2310,242,685,283,400,0,0,0,0,27,18,236,0,93,0,117,134,532,113,69
216,267.41,50.47,1.24,23428,59791,0.391831547,367,4347,0.125483517,30,558,79,3793,33810,37505,34642,1261,0.036400901,151498,4.373246348,271.5017921,881,99,0,393,96,920,22,558,772,90,432,19,77,88,0,489,56,368,141,1230,520,580,664,1118,258,1451,314,486,199,480,0,39,0,0,0,42,192,40,0,0,0,98,249,184,36
216.5,267.91,NaN,1.39,22953,60746,0.37785204,413,4297,0.120916228,91,603,66,3612,33901,38500,35537,1168,0.032867153,160796,4.524748853,266.6600332,1024,73,0,144,113,1106,21,643,716,121,380,81,76,0,105,77,429,311,130,1119,575,583,696,1262,351,1268,425,445,202,447,77,61,0,172,0,74,45,0,0,0,0,11,392,253,102
217,268.41,NaN,1.41,22887,60964,0.37541828,478,4408,0.123349004,49,610,109,3471,34794,40057,35736,1208,0.033803448,167426,4.685079472,274.4688525,1159,142,0,473,63,907,0,549,746,37,365,63,59,54,14,278,312,317,89,1261,403,625,640,1332,280,1453,458,358,286,396,0,23,0,0,18,172,151,185,48,63,0,31,112,170,0
217.5,268.91,NaN,1.14,22546,60744,0.37116423,409,4458,0.124898439,64,578,36,3483,35002,39940,35693,947,0.026531813,172734,4.839436304,298.8477509,1193,0,14,355,69,1048,23,591,777,70,287,140,188,0,34,41,365,359,33,1200,426,584,623,964,275,808,297,470,282,345,127,0,0,0,0,71,143,25,13,38,0,75,386,118,79
218,269.41,47.27,1.63,22910,60994,0.375610716,456,4719,0.131690573,62,517,69,3464,35138,39044,35834,307,0.008567282,168888,4.713065803,326.6692456,1026,72,0,707,0,1231,0,493,737,117,191,28,37,50,76,117,384,393,102,1182,522,593,550,1369,196,1603,498,526,304,417,0,0,0,0,27,41,214,0,52,117,39,0,551,63,23
218.5,269.91,NaN,1.48,21830,59533,0.366687383,427,4688,0.134782359,30,468,61,3519,34913,38411,34782,1428,0.041055718,168411,4.841900983,359.8525641,920,0,26,569,0,681,105,569,733,47,489,120,33,15,21,472,25,509,122,1209,356,691,993,1668,162,1060,397,474,259,387,225,0,0,0,0,100,243,448,105,0,48,0,0,132,7
219,270.41,NaN,1.34,23483,58456,0.401720953,451,4744,0.134883853,66,492,74,3590,34875,38458,35171,1329,0.037786813,164301,4.671490717,333.945122,1099,147,0,459,111,799,0,501,756,0,340,60,168,40,64,304,218,394,113,1240,508,666,448,1190,405,1300,335,354,98,426,0,74,101,0,17,24,88,256,43,106,50,0,208,183,63
219.5,270.91,NaN,1.33,22680,60273,0.37628789,425,4421,0.129625286,41,424,37,3707,34313,37391,34106,1118,0.032780156,161638,4.739283411,381.2216981,1366,192,0,420,94,850,68,533,720,93,330,114,163,0,39,403,161,362,78,1177,369,664,551,66,365,1027,332,410,271,516,0,134,97,0,120,21,213,68,29,0,53,76,289,157,30
220,271.41,44.83,1.56,22601,58334,0.387441286,387,4310,0.132002083,47,406,76,3762,32603,34717,32651,1427,0.043704634,157314,4.818045389,387.4729064,1013,138,0,387,33,811,44,617,847,6,473,59,8,59,55,431,245,451,195,1319,464,678,381,770,428,1245,537,283,226,271,55,0,0,0,19,115,148,0,0,0,0,11,376,163,71
220.5,271.91,NaN,1.44,21459,57944,0.370340329,374,3968,0.125669042,88,408,24,3920,31294,32974,31575,1304,0.041298496,160750,5.091053048,393.995098,943,24,0,454,21,645,47,602,774,0,442,63,34,0,75,328,169,345,125,1212,482,530,704,1556,187,1443,194,390,9,495,0,109,0,0,0,61,119,150,57,0,0,0,143,75,89
221,272.41,NaN,1.26,21976,57262,0.383779819,415,4135,0.131016127,27,446,21,3757,31980,32881,31561,537,0.01701467,162512,5.149139761,364.3766816,943,8,0,452,79,812,67,540,763,33,467,0,28,0,10,242,218,376,82,1130,430,664,457,1409,123,1176,268,449,243,408,52,0,0,0,88,45,151,0,87,0,61,8,342,117,129
221.5,272.91,NaN,1.31,21987,57614,0.381625994,398,4443,0.133575852,60,465,58,3747,32978,34360,33262,727,0.021856773,164257,4.938277915,353.2408602,1012,92,0,493,63,818,82,446,580,47,347,187,156,38,0,230,160,513,148,1241,434,621,385,1488,359,1325,369,428,265,370,43,29,0,0,0,108,157,0,36,13,0,0,434,46,0
222,273.41,44.79,1.3,22039,59935,0.367715025,395,4895,0.149905065,80,466,67,3570,34001,34614,32654,774,0.023703069,166543,5.100232743,357.388412,1025,122,24,520,69,772,87,565,741,62,392,32,69,5,86,274,272,257,75,1185,412,549,355,1254,212,1229,533,436,272,340,0,30,0,0,56,76,135,0,0,0,0,95,222,73,45
222.5,273.91,NaN,1.54,22051,58716,0.375553512,438,4970,0.152220521,43,460,43,3650,33811,35416,32650,1670,0.051148545,168365,5.156661562,366.0108696,1079,104,16,558,10,465,0,577,757,0,512,125,37,0,61,76,240,297,55,1072,475,473,553,1207,312,1196,491,399,190,302,0,38,32,0,0,0,137,325,0,0,76,76,0,87,34
223,274.41,NaN,1.37,21385,61340,0.348630584,411,4790,0.142985075,60,485,48,3639,33836,34599,33500,1149,0.034298507,166681,4.975552239,343.6721649,1028,61,0,385,27,747,0,406,748,70,462,0,12,0,30,188,333,372,78,1203,387,714,744,1783,170,1150,288,376,56,420,0,92,0,0,0,43,58,93,0,168,14,51,222,120,0
223.5,274.91,NaN,1.63,22023,61020,0.360914454,430,4695,0.142913673,51,487,59,3626,33589,34848,32852,1156,0.035188116,163346,4.972178254,335.412731,1064,0,0,402,78,819,0,495,783,104,426,81,34,0,65,126,378,386,115,1267,357,709,722,1847,254,830,391,396,114,354,224,62,0,0,0,117,102,0,7,77,16,0,277,117,86
224,275.41,45.13,1.5,22271,61628,0.361377945,469,4928,0.142214014,94,478,57,3618,34889,36771,34652,1518,0.043806995,160022,4.617972989,334.7740586,1083,0,18,515,24,945,0,549,754,47,244,135,160,16,97,326,174,357,101,1219,432,573,627,980,273,1062,444,399,291,294,254,0,0,0,52,223,172,0,21,98,19,0,527,180,0
224.5,275.91,NaN,1.32,21903,59872,0.365830438,459,4970,0.142799678,36,493,46,3652,34846,37796,34804,1673,0.048069187,160988,4.62556028,326.5476673,1085,154,0,362,57,1132,162,523,761,0,297,164,44,53,102,334,104,381,127,1219,382,808,787,1040,294,1150,356,503,286,514,15,49,0,34,48,108,0,0,0,0,0,0,481,139,181
225,276.41,NaN,1.53,23671,59629,0.396971272,475,4630,0.136180476,50,562,101,3597,34171,36404,33999,1043,0.030677373,168376,4.952380952,299.6014235,1296,67,0,241,34,666,47,508,595,24,457,0,66,29,55,546,7,450,116,1155,476,710,350,619,287,1204,495,468,240,456,160,86,0,51,4,164,59,206,0,0,0,0,0,224,72
225.5,276.91,NaN,1.41,21921,61327,0.357444519,417,4738,0.1411127,53,497,76,3720,33501,37010,33576,553,0.016470098,169656,5.052894925,341.360161,837,0,0,448,50,687,0,562,658,26,388,74,20,0,55,279,426,351,125,1396,408,748,914,1409,193,1622,378,570,334,401,103,0,0,0,38,70,144,256,27,16,0,34,92,99,0
226,277.41,45.55,1.61,23223,62924,0.369064268,421,4505,0.132375411,28,482,58,3572,33890,37816,34032,1308,0.038434415,173320,5.092853785,359.5850622,1265,89,0,354,23,1100,0,575,728,64,297,0,53,49,73,0,469,260,125,1069,399,727,547,412,277,1131,518,512,370,298,120,31,0,0,0,156,176,0,56,30,0,0,486,130,0
226.5,277.91,NaN,1.35,22213,60921,0.364619753,386,4492,0.131734068,43,549,48,3601,33494,37184,34099,1166,0.034194551,172296,5.052816798,313.8360656,1166,80,0,546,64,954,28,609,670,0,361,38,151,8,7,359,114,470,153,1221,452,627,739,1027,179,1118,387,540,247,399,0,25,15,0,0,32,143,0,40,0,10,52,434,210,125
227,278.41,NaN,1.29,22816,60267,0.378581977,468,4425,0.130082018,63,660,39,3568,33473,35741,34017,1152,0.03386542,171813,5.05079813,260.3227273,1215,54,0,312,44,901,62,494,732,122,399,0,76,63,0,395,207,289,54,1108,580,625,620,888,323,1234,335,393,208,460,83,64,0,0,0,110,82,0,0,0,0,58,425,169,200
227.5,278.91,NaN,1.34,22330,61060,0.365705863,438,4491,0.133066667,55,671,85,3720,33727,35316,33750,655,0.019407407,160284,4.749155556,238.8733234,1038,75,0,407,63,617,28,564,670,31,528,19,135,45,100,314,153,457,135,1287,400,809,745,942,216,1309,496,554,364,342,29,47,0,0,0,50,175,241,108,0,47,0,172,60,16
228,279.41,45.49,1.32,22814,61618,0.370248953,361,4448,0.129362494,50,648,37,3846,33009,36170,34384,781,0.022714053,159453,4.637418567,246.0694444,990,13,0,504,115,647,0,467,699,50,404,92,111,0,49,157,443,380,74,1274,501,608,646,1251,153,1167,347,585,278,467,42,0,0,0,117,121,243,80,122,106,91,94,254,210,0
228.5,279.91,NaN,1.35,22422,59724,0.375426964,419,4489,0.130055626,29,712,78,3731,32529,35666,34516,984,0.028508518,175041,5.071300267,245.8441011,1180,97,0,283,0,758,0,480,702,20,280,48,33,0,75,488,125,400,107,1256,533,577,676,835,325,1452,361,425,302,348,0,15,0,65,76,177,79,0,102,112,0,0,414,157,0
229,280.41,NaN,1.45,23107,60737,0.380443552,469,4715,0.139159436,59,812,91,3583,32037,37489,33882,859,0.025352695,181385,5.353432501,223.3805419,1001,60,0,407,24,647,0,480,675,110,365,0,58,34,65,724,0,425,166,1295,370,698,593,2511,243,1690,269,401,98,465,0,0,0,0,0,0,148,39,54,69,67,57,294,125,85
229.5,280.91,NaN,1.41,22932,60539,0.378797139,405,4392,0.130264563,40,855,66,3542,31400,37521,33716,838,0.024854668,183694,5.448273817,214.8467836,1006,59,0,309,94,755,49,514,710,0,235,81,78,23,50,328,83,397,113,1223,532,587,637,2101,214,1707,393,406,97,313,0,51,0,72,0,76,0,0,62,0,0,59,453,98,106
230,281.41,44.57,1.46,21798,60335,0.361282837,397,4503,0.14017557,35,800,39,3640,31560,38375,32124,1235,0.038444776,183262,5.704831279,229.0775,1130,118,0,338,83,855,84,511,597,39,169,70,90,18,5,339,204,297,70,1136,407,718,841,1687,244,1056,480,382,201,474,0,16,0,0,0,20,153,0,13,0,48,0,408,30,0
230.5,281.91,NaN,1.38,23239,60152,0.386337944,405,4509,0.138012304,31,756,47,3603,31932,36621,32671,1048,0.032077377,183059,5.60310367,242.1415344,1296,7,0,354,46,887,0,454,576,58,267,105,88,0,64,0,347,430,82,1075,446,534,642,1342,274,1262,364,485,194,391,42,16,0,0,0,48,142,0,0,53,97,12,435,175,112
231,282.41,NaN,1.61,23044,61065,0.377368378,436,4333,0.133908153,31,866,50,3523,31344,35842,32358,1303,0.040268249,175259,5.416249459,202.3775982,1164,50,0,449,74,712,0,388,658,130,248,0,30,43,16,0,470,336,102,1198,529,584,541,1281,396,1093,410,359,252,500,85,16,0,0,60,151,255,0,0,130,26,98,265,199,62
231.5,282.91,NaN,1.26,22455,60444,0.371500893,413,4492,0.131699308,57,700,63,3673,30830,36125,34108,1168,0.034244166,169069,4.956872288,241.5271429,1094,45,0,290,36,632,0,367,740,40,537,65,72,23,19,239,156,421,148,1229,257,720,651,1396,261,1480,334,451,147,402,0,29,0,11,27,134,36,140,0,136,0,45,215,181,12
232,283.41,43.71,1.22,22714,59224,0.383526949,484,4579,0.136385298,44,771,41,3655,32022,36167,33574,791,0.023559898,169629,5.052391732,220.0116732,998,51,0,310,21,783,19,622,701,100,376,54,79,0,52,223,307,313,132,1125,422,630,484,1643,256,1207,422,455,246,417,68,24,0,0,0,88,94,0,17,0,10,38,445,163,72
232.5,283.91,NaN,1.45,22396,62617,0.357666448,400,4512,0.136433733,30,863,72,3680,31531,36523,33071,1743,0.052704787,175573,5.308971607,203.4449594,1041,49,0,284,21,975,0,465,682,87,279,80,10,14,128,147,258,461,160,1307,403,757,781,1104,397,1050,436,430,183,550,153,17,0,10,0,159,68,0,17,220,0,15,529,145,21
233,284.41,NaN,1.41,23251,64099,0.362735768,452,4451,0.13364761,111,936,53,3610,31145,37815,33304,501,0.015043238,169511,5.089809032,181.1014957,1154,116,0,366,16,858,7,396,587,56,325,81,20,12,44,128,329,372,105,1197,527,695,693,1423,228,994,404,466,181,491,0,91,70,0,31,11,120,0,75,13,21,0,332,60,7
233.5,284.91,NaN,1.63,22840,63216,0.361300936,440,4639,0.139259126,91,919,91,3643,31124,38051,33312,1211,0.036353266,165612,4.971541787,180.2089227,1089,60,6,389,61,661,0,441,664,59,422,111,124,58,28,611,53,498,127,1364,443,719,679,1472,316,1448,346,457,87,370,201,41,0,0,0,175,75,48,14,14,0,13,242,239,68
234,285.41,44.87,1.48,23456,59847,0.391932762,431,4853,0.144822441,12,818,91,3506,31860,39180,33510,956,0.028528797,165717,4.94529991,202.5880196,1229,148,0,380,0,766,9,563,802,54,336,0,25,0,39,250,288,474,55,1018,500,642,405,1035,286,894,416,374,136,375,0,94,0,0,0,62,114,0,52,0,0,0,342,88,0
234.5,285.91,NaN,1.42,23994,60304,0.397884054,452,4972,0.146774908,84,778,46,3459,32070,40031,33875,1071,0.031616236,151596,4.475158672,194.8534704,1067,154,0,280,50,743,59,522,812,107,396,92,162,69,49,0,470,604,62,1226,471,645,360,953,390,1266,541,344,119,424,36,164,0,42,19,126,129,0,115,0,0,18,317,158,0
235,286.41,NaN,1.25,22543,61997,0.363614368,429,4974,0.145502413,57,665,39,3892,33442,41684,34185,657,0.019218956,140871,4.120842475,211.8360902,951,49,0,334,121,738,0,582,866,0,419,0,0,0,67,62,403,503,103,1369,385,734,671,1090,132,1132,290,459,140,475,8,135,0,0,48,92,144,15,73,27,0,0,289,154,41
