Position,Relative_position,Mag_Sus,MSE,Incoherence,Coherence,Inc/Coh,Al,Si,Si/TI,P,S,Cl,Ar,K,Ca,Ti,Mn,Mn/Ti,Fe,Fe/Ti,Fe/S,Co,Ni,Cu,Zn,Ga,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Pd,Cd,In,Sn,Sb,Cs,Ba,La,Pr,Nd,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Hf,W,Re,Os,Au,Hg,Pb,Bi,Po,At,Ra,Ac,Th,U
54.5,105.91,NaN,1.8,23523,61965,0.379617526,365,3338,0.117589037,41,1517,18,3695,27575,26933,28387,288,0.010145489,226355,7.973896502,149.212261,1455,83,0,272,0,766,21,343,573,29,210,63,83,0,0,59,433,128,60,1010,431,586,633,2146,532,948,411,329,74,461,12,104,0,0,0,92,117,0,0,64,0,0,577,136,95
55,106.41,NaN,2.2,22125,61718,0.358485369,377,3553,0.118334721,42,1433,33,3403,29027,30892,30025,916,0.03050791,220006,7.327427144,153.5282624,1297,0,0,379,47,770,59,394,527,33,148,0,21,18,20,201,208,175,0,972,389,658,972,1845,197,1191,364,582,187,455,127,16,0,0,0,104,222,0,0,0,0,48,440,185,82
55.5,106.91,NaN,2.24,22546,61537,0.366381202,332,3877,0.124159354,0,1342,43,3722,31264,33647,31226,1187,0.038013194,214475,6.868474989,159.8174367,1333,0,0,365,13,807,0,434,634,0,70,35,43,0,0,0,478,320,82,1136,533,597,777,1893,334,1107,489,435,113,346,227,63,0,0,38,144,211,0,0,0,0,0,578,171,52
56,107.41,15.67,1.59,23807,60873,0.391092931,340,4006,0.127312019,48,1340,71,3645,30822,36014,31466,736,0.023390326,208558,6.628042967,155.6402985,1268,81,0,286,0,576,53,460,643,68,146,59,82,0,67,136,413,404,78,1155,588,674,507,2003,396,1112,290,286,45,446,14,81,0,0,5,48,165,0,38,0,0,50,370,182,136
56.5,107.91,NaN,1.6,22283,61075,0.3648465,379,4002,0.131666392,33,1473,66,3688,30195,36712,30395,1440,0.047376213,214384,7.05326534,145.5424304,1317,0,0,145,8,516,0,379,592,0,227,0,194,0,53,355,244,327,127,1152,522,684,747,1366,451,1040,488,413,253,393,145,0,0,36,0,181,147,54,34,13,0,0,184,136,46
57,108.41,NaN,1.68,22145,62656,0.353437819,471,4249,0.134143646,94,1321,61,3677,31648,38759,31675,965,0.030465667,204694,6.462320442,154.9538229,1442,43,0,234,84,491,15,445,697,56,316,66,111,0,21,330,261,384,107,1136,374,652,865,1591,297,1240,486,443,115,390,61,53,0,0,0,191,147,60,8,0,0,141,162,244,31
57.5,108.91,NaN,1.65,23215,61314,0.378624784,453,4472,0.138610793,64,1356,67,3699,32504,39935,32263,1647,0.051049189,207162,6.421039581,152.7743363,1574,151,0,296,16,705,74,442,613,87,257,141,97,39,94,43,398,370,127,1205,364,753,535,1102,553,1041,568,293,157,425,49,105,0,0,0,128,102,0,63,0,14,17,465,133,55
58,109.41,17.27,1.88,21955,62864,0.349245991,372,4168,0.136722979,92,1432,62,3622,30300,38076,30485,1189,0.039002788,226668,7.435394456,158.2877095,1468,26,0,225,22,543,0,424,565,55,118,49,165,29,0,378,223,349,99,1064,464,755,788,2198,588,880,529,241,57,310,77,45,0,0,0,89,65,0,0,21,0,0,392,324,0
58.5,109.91,NaN,2.3,21969,62159,0.353432327,359,3727,0.129616749,31,1512,39,3566,28284,35642,28754,823,0.028622105,239074,8.314460597,158.1177249,1441,56,0,248,26,390,0,459,424,0,131,5,118,6,0,0,440,296,61,932,453,597,860,2220,564,977,684,256,114,423,205,95,0,0,0,190,117,0,33,0,0,0,293,58,25
59,110.41,NaN,2.01,23639,60314,0.391932221,306,3421,0.119057562,56,1626,30,3570,26809,33474,28734,752,0.026171087,242473,8.438539709,149.1223862,1570,72,0,154,24,452,59,386,511,0,180,68,0,0,0,0,382,373,117,1035,483,732,668,1980,672,803,621,326,102,375,71,85,0,0,0,118,117,0,21,0,0,0,280,245,85
59.5,110.91,NaN,2.92,22999,60406,0.380740324,312,3229,0.112215465,81,1486,64,3543,26383,31812,28775,1426,0.049556907,245852,8.543944396,165.4454913,1644,0,0,347,32,780,0,344,523,95,0,97,32,0,69,0,446,241,122,945,560,606,1027,1918,406,838,638,414,229,361,259,62,0,0,0,159,205,0,74,101,0,13,680,244,42
60,111.41,16.47,2.61,23418,60642,0.386168002,324,3125,0.113286206,77,1562,37,3622,25129,30345,27585,1104,0.040021751,258497,9.370926228,165.4910371,1506,96,0,148,8,796,0,259,468,113,0,25,21,0,44,37,339,167,110,813,473,685,885,2208,690,1026,620,295,174,326,97,68,0,0,0,159,173,0,79,139,30,0,775,198,37
60.5,111.91,NaN,2.09,24471,59706,0.409858306,318,3227,0.117563481,44,1625,66,3549,25192,29229,27449,405,0.014754636,252282,9.190935918,155.2504615,1649,71,0,273,8,529,8,336,387,0,26,36,39,0,60,256,138,330,86,992,473,641,561,2209,639,1025,473,289,58,355,68,90,0,0,0,84,207,0,0,21,0,0,525,265,98
61,112.41,NaN,2.15,24629,61561,0.400074723,313,3068,0.113802441,40,1582,44,3683,25296,29000,26959,1065,0.039504433,242817,9.006899366,153.4873578,1658,67,0,259,46,632,0,298,465,38,0,20,64,14,7,97,336,107,50,1007,521,603,299,1768,633,1345,466,320,106,353,0,59,0,0,0,70,121,0,0,0,0,0,590,220,73
61.5,112.91,NaN,1.96,23562,59971,0.392889897,316,3054,0.107592038,43,1410,58,3694,26971,29945,28385,1023,0.036040162,229263,8.076906817,162.5978723,1365,113,0,282,84,798,30,253,423,85,0,116,111,0,22,0,281,278,57,945,506,550,641,1739,493,1380,678,417,233,360,28,45,0,0,0,127,250,0,116,137,75,23,719,125,7
62,113.41,15,1.55,23769,61137,0.38878257,290,2939,0.102683251,34,1227,74,3810,26522,30705,28622,832,0.029068549,216184,7.553071064,176.1890791,1523,50,0,386,70,521,28,391,379,66,266,35,108,0,89,122,205,356,106,1030,510,773,830,1009,451,1076,608,492,343,430,67,0,0,0,83,98,311,82,119,56,27,0,254,179,61
62.5,113.91,NaN,1.78,23853,61106,0.390354466,215,2672,0.093446178,69,1165,34,3800,25507,30615,28594,1362,0.04763237,210708,7.368958523,180.8652361,1428,30,0,260,59,826,70,301,556,81,158,0,112,0,55,59,266,407,99,1195,474,572,817,1588,281,925,498,612,336,422,125,0,0,0,0,141,208,0,64,71,0,73,535,212,75
63,114.41,NaN,1.99,23048,63425,0.363389831,281,2909,0.099694986,40,1287,20,3598,26696,30881,29179,1244,0.042633401,218363,7.483566949,169.6682207,1587,88,0,455,7,456,87,454,542,0,119,24,85,11,0,16,279,223,16,959,594,627,883,1141,562,509,590,223,221,438,200,84,0,0,20,136,221,74,77,0,0,54,177,178,161
63.5,114.91,NaN,2,24176,61022,0.396184982,297,3058,0.103889927,42,1256,34,3765,27139,30943,29435,430,0.014608459,221780,7.534567692,176.5764331,1286,100,0,267,24,846,0,378,522,115,71,92,67,0,51,0,347,261,38,871,407,700,540,2125,505,950,482,295,11,532,0,128,0,0,0,0,83,0,46,22,50,0,642,200,131
64,115.41,14.56,2.31,23828,61340,0.388457776,323,3162,0.109978783,60,1620,74,3689,26124,31107,28751,1158,0.04027686,233922,8.136134395,144.3962963,1645,158,0,267,0,999,0,360,388,54,0,69,63,0,83,49,278,282,74,970,470,575,601,1513,642,618,705,267,222,312,54,46,0,0,0,64,109,0,0,37,0,127,704,317,70
