Position,Relative_Position,Position,Mag_Sus,MSE,Incoherence,Coherence,Inc/Coh,Al,Si,Si/Ti,P,S,Cl,Ar,K,Ca,Ti,Mn,Mn/Ti,Fe,Fe/Ti,Fe/S,Co,Ni,Cu,Zn,Ga,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Pd,Cd,In,Sn,Sb,Cs,Ba,La,Pr,Nd,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Hf,W,Re,Os,Au,Hg,Pb,Bi,Po,At,Ra,Ac,Th,U
174.5,681.41,681.43,16.87,1.32,20971,59442,0.352797685,669,7698,5.21979735,16,347,74,4172,45508,43311,40182,1528,0.038026977,95882,2.386192823,276.3170029,600,116,32,436,137,753,93,866,1181,101,738,81,0,0,153,232,588,446,115,1341,414,643,806,219,0,904,174,543,367,379,17,0,18,131,0,0,0,204,144,0,97,0,131,45,0
175,681.91,,,1.17,20204,67681,0.298518048,605,7240,5.240883978,65,373,137,4302,42502,41415,37944,1350,0.035578748,93284,2.458465106,250.0911528,702,16,72,643,110,923,0,728,1201,143,741,107,81,0,73,488,94,406,48,1358,327,641,712,497,0,809,178,521,130,422,178,115,0,0,37,147,170,18,132,0,0,17,405,37,139
175.5,682.41,,,1.2,20824,61997,0.33588722,637,6726,5.5941124,93,393,76,4254,41903,40692,37626,1551,0.041221496,91347,2.427762717,232.4351145,630,40,0,571,29,789,28,775,1433,147,703,99,110,36,35,412,143,539,129,1288,491,453,686,631,0,916,153,499,200,524,118,131,0,0,0,0,65,127,0,0,0,0,190,88,0
176,682.91,,,1.39,21905,62933,0.348068581,569,6814,5.989286763,0,397,87,4182,43157,43040,40811,599,0.014677415,95415,2.337972605,240.3400504,721,80,31,600,63,788,0,688,1253,112,731,65,82,78,0,464,280,464,97,1401,428,672,388,726,0,890,249,543,195,462,0,122,64,0,0,0,101,124,41,54,54,5,238,107,9
176.5,683.41,683.43,16.77,1.29,21501,66618,0.322750608,653,6884,5.844276583,0,353,62,4212,43198,43535,40232,1147,0.028509644,92753,2.30545337,262.7563739,711,103,21,515,14,883,0,792,1180,118,768,59,11,0,34,541,61,490,58,1222,450,615,555,542,0,742,314,480,297,405,95,0,0,0,0,49,0,143,29,0,67,34,300,115,79
177,683.91,,,1.19,22650,59427,0.381139886,638,7181,5.355243002,112,392,158,4197,42941,43315,38456,1202,0.031256501,88466,2.300447264,225.6785714,671,158,29,564,108,786,0,799,1241,159,857,10,0,43,104,327,222,557,127,1586,414,648,386,898,20,877,126,369,90,400,0,136,63,0,0,0,0,180,0,0,0,0,248,175,85
177.5,684.41,,,1.31,21927,58122,0.377258181,529,6444,5.789106145,22,320,164,4272,42130,41624,37305,987,0.026457579,89021,2.386302104,278.190625,639,44,84,423,35,848,0,788,1270,205,842,76,0,5,74,397,150,527,148,1476,415,725,580,396,0,935,171,568,394,361,75,0,0,110,0,0,0,128,0,0,58,54,428,125,125
178,684.91,,,1.27,21599,58811,0.367261227,624,6780,5.774188791,42,344,122,4315,44024,42533,39149,1385,0.03537766,93757,2.394875987,272.5494186,547,82,67,732,155,845,0,692,1281,93,861,47,70,28,79,220,348,555,139,1560,425,586,622,632,0,731,217,596,361,465,44,0,26,0,26,94,177,201,88,123,26,0,289,175,0
178.5,685.41,685.43,17.39,1.25,21276,61373,0.346667101,651,6722,5.812704552,50,331,130,4225,42213,42824,39073,961,0.024594989,90190,2.308243544,272.4773414,571,74,0,567,111,980,0,687,1185,136,814,26,17,57,72,591,134,568,188,1612,338,728,711,636,0,820,252,510,261,491,76,26,0,0,11,22,80,0,0,28,52,0,464,138,42
179,685.91,,,1.28,20837,60406,0.344949177,667,7340,5.432970027,45,376,118,4006,43728,43588,39878,1305,0.032724811,91852,2.303325142,244.287234,551,136,51,713,92,817,82,786,1243,9,870,133,113,104,65,401,185,490,190,1462,363,796,787,1082,0,871,238,508,171,497,0,23,264,0,0,0,0,97,8,0,0,28,249,10,184
179.5,686.41,,,1.41,19834,59695,0.332255633,623,7153,5.30281001,77,371,138,4191,42961,42531,37931,1147,0.030239118,87769,2.313912104,236.574124,583,85,30,677,87,921,0,709,1447,177,771,25,0,29,99,364,174,448,170,1414,380,707,1041,1138,0,610,292,521,195,465,117,87,14,0,0,38,125,0,0,44,0,100,399,144,51
180,686.91,,,1.22,22318,61555,0.362570059,566,7168,5.38936942,28,334,113,4071,42857,42597,38631,996,0.025782403,91197,2.360720665,273.0449102,535,53,73,722,152,1022,22,802,1306,265,895,0,75,0,109,542,166,519,124,1396,460,640,494,428,0,1063,197,614,322,455,0,0,47,0,41,59,81,14,9,36,25,0,403,12,33
180.5,687.41,687.43,18.05,1.24,20291,60689,0.33434395,624,7141,5.382439434,60,343,149,4222,42212,41324,38436,1380,0.03590384,89060,2.317098553,259.6501458,743,134,0,584,126,641,0,608,1232,82,1004,0,23,25,61,755,32,369,79,1522,463,649,997,452,0,787,146,580,159,515,0,164,154,0,30,29,6,476,37,84,0,0,0,47,0
181,687.91,,,1.26,21004,68057,0.308623654,631,7324,5.304205352,62,359,306,4288,43766,41842,38848,1098,0.028264003,84209,2.167653418,234.5654596,579,189,60,625,139,631,0,723,1153,117,892,0,75,0,80,791,0,457,113,1403,354,683,748,680,0,796,203,536,229,558,0,34,247,0,20,0,105,407,0,58,146,0,110,0,0
181.5,688.41,,,1.3,21861,62597,0.349233989,635,7374,5.304312449,43,340,169,4300,44007,42222,39114,1135,0.029017743,87748,2.243391113,258.0823529,649,66,18,608,121,873,0,758,1153,115,972,119,46,0,31,386,133,448,99,1413,420,691,606,755,0,694,163,528,183,541,0,68,125,0,23,0,50,203,120,137,68,34,307,82,78
182,688.91,,,1.16,22474,59690,0.376511979,715,7387,5.394070665,35,340,170,4187,43316,43837,39846,768,0.019274206,88822,2.229132159,261.2411765,617,122,97,595,122,882,84,762,1240,119,959,52,25,0,118,547,307,492,127,1447,454,681,508,300,0,766,385,528,482,372,91,0,20,0,76,110,73,93,0,0,5,0,306,100,90
182.5,689.41,689.43,18.71,1.41,21582,60148,0.358814923,622,6887,5.725279512,38,332,88,4152,42267,41643,39430,1395,0.035379153,92352,2.342176008,278.1686747,692,37,29,717,32,722,0,747,1067,10,987,42,0,11,74,358,236,459,111,1454,515,511,815,867,0,656,142,537,147,480,59,74,20,0,0,0,0,417,0,20,116,0,0,20,63
183,689.91,,,1.34,21972,61028,0.360031461,655,6933,5.739362469,101,297,276,4384,41314,40777,39791,1775,0.044608077,89273,2.243547536,300.5824916,612,61,0,716,74,673,0,782,1166,211,906,102,72,0,22,370,228,463,129,1441,414,662,564,601,0,799,114,420,206,572,12,19,0,0,30,45,184,469,13,0,117,47,21,168,86
183.5,690.41,,,1.24,21810,66829,0.326355325,572,6624,5.652022947,45,285,219,4268,41349,40640,37439,486,0.012981116,86374,2.307059483,303.0666667,695,111,31,523,108,672,41,860,1389,119,893,13,0,0,84,529,171,482,39,1261,359,753,496,668,0,754,127,466,138,486,0,63,87,83,0,0,11,411,0,0,145,0,190,120,0
184,690.91,,,1.22,21903,64014,0.342159528,704,7456,5.322961373,30,299,227,4114,43350,42743,39688,892,0.022475307,91001,2.292909696,304.3511706,471,173,127,636,84,780,50,780,1284,190,1560,167,57,47,23,452,375,415,113,1396,452,571,627,1299,0,819,418,381,270,317,0,38,93,0,0,54,86,264,13,0,58,0,274,86,142
184.5,691.41,691.43,19.47,1.13,22231,58900,0.377436333,600,7296,5.607319079,39,307,143,4113,42931,42017,40911,963,0.023538902,95490,2.334091076,311.0423453,732,37,50,576,137,1005,0,757,1228,125,1029,34,68,0,108,733,109,431,104,1407,458,587,271,306,0,751,233,574,370,458,0,18,138,4,36,0,76,117,21,72,99,115,381,92,94
185,691.91,,,1.21,20541,58264,0.35255046,757,7414,5.411653628,39,334,166,4002,45703,42581,40122,862,0.021484472,94401,2.352848811,282.6377246,578,88,116,562,199,935,55,779,1153,89,837,145,52,43,43,520,210,397,101,1415,401,722,822,1112,0,841,265,532,229,390,0,74,153,122,11,46,0,251,77,112,30,79,151,71,93
185.5,692.41,,,1.22,21062,58622,0.35928491,684,7289,5.331595555,41,270,181,4275,42515,42749,38862,1273,0.032756935,90573,2.330631465,335.4555556,747,160,41,512,132,810,123,758,1244,110,841,103,0,37,124,752,80,429,152,1402,395,644,519,981,24,621,233,457,100,409,0,122,127,57,8,55,131,231,138,49,118,155,212,55,120
186,692.91,,,1.25,21804,60155,0.362463636,635,7252,5.502895753,7,359,149,4019,41818,41913,39907,1200,0.030069913,91370,2.289573258,254.5125348,755,23,0,641,130,850,0,763,1102,100,844,82,0,50,85,571,181,424,178,1410,453,562,564,102,0,484,220,613,408,437,94,0,0,0,0,75,93,281,9,0,89,71,260,94,78
186.5,693.41,693.43,20,1.25,21181,72547,0.291962452,573,6798,5.741247426,42,325,133,3955,41927,42545,39029,1179,0.030208307,92708,2.37536191,285.2553846,563,109,78,745,33,743,0,677,1305,93,962,100,22,15,123,786,0,407,106,1497,422,712,725,1376,0,789,257,515,210,403,0,33,81,0,0,67,170,395,58,0,74,8,46,71,74
187,693.91,,,1.2,22286,77442,0.287776659,519,6537,5.847177604,0,264,114,4182,42210,41601,38223,1062,0.027784318,87777,2.296444549,332.4886364,722,56,47,559,131,684,0,830,1334,217,1055,34,0,0,65,193,144,524,46,1373,409,585,439,221,0,544,200,474,246,411,177,53,0,54,0,22,61,426,52,0,30,54,135,185,209
187.5,694.41,,,1.25,21479,61448,0.349547585,656,6780,5.910176991,66,311,79,3899,42667,43638,40071,939,0.023433406,94116,2.348731002,302.6237942,574,93,52,556,43,867,23,725,1329,176,1036,162,69,95,139,875,9,483,183,1558,351,823,857,678,0,896,315,584,399,436,0,0,0,0,47,146,78,195,0,0,0,99,281,116,92
188,694.91,,,1.26,21556,60814,0.354457855,674,6838,5.652091255,31,363,151,4136,42323,42342,38649,1014,0.026236125,92919,2.404176046,255.9752066,552,105,88,567,134,992,7,707,1183,157,783,121,104,14,44,542,139,404,114,1376,349,738,633,1145,0,695,410,493,281,345,86,45,77,0,0,31,95,0,63,71,0,0,424,48,0
188.5,695.41,695.43,19.8,1.06,20655,61483,0.335946522,528,6294,6.193358754,0,325,140,4077,42379,41076,38981,2050,0.052589723,91467,2.346450835,281.4369231,752,181,107,427,95,1236,29,789,1120,176,936,121,11,30,23,478,203,496,134,1513,379,732,972,418,24,674,384,474,251,378,118,125,0,70,0,0,89,0,81,0,95,19,534,0,0
189,695.91,,,1.15,21889,67441,0.324565175,558,6697,5.971031805,64,361,155,3952,42913,41605,39988,1423,0.035585676,91074,2.27753326,252.2825485,512,93,37,586,85,1003,0,811,1261,136,793,74,20,43,96,627,206,526,132,1500,493,698,715,1063,0,842,249,468,177,411,84,20,16,0,16,86,129,56,51,12,54,0,341,96,0
189.5,696.41,,,1.2,23050,60841,0.378856363,569,6884,5.82393957,30,314,71,4145,42472,41232,40092,1952,0.048688018,90195,2.249700688,287.2452229,796,148,100,617,122,1006,0,843,1139,142,826,98,66,0,48,534,88,523,38,1391,583,496,307,469,24,731,326,471,178,308,11,62,83,0,0,0,56,0,23,20,102,21,472,87,0
190,696.91,,,1.17,20610,61476,0.335252782,628,6731,5.98336057,60,274,74,4148,42713,43057,40274,1430,0.035506779,88036,2.185926404,321.2992701,642,104,39,647,108,834,0,867,1414,158,758,32,0,0,83,448,220,504,102,1526,427,597,811,537,0,657,184,477,143,375,6,83,0,0,0,35,70,190,11,0,15,0,167,138,0
190.5,697.41,697.43,19.09,1.31,21724,59311,0.366272698,532,6817,5.81502127,97,343,166,4056,43103,43186,39641,1015,0.025604803,88458,2.231477511,257.8950437,635,149,91,657,135,954,0,637,1667,83,658,91,0,37,86,518,195,565,132,1517,381,753,596,559,0,676,346,466,322,333,143,0,21,0,10,41,133,150,18,220,83,31,494,204,0
191,697.91,,,1.29,22579,59564,0.379071251,601,7007,5.784643928,26,351,103,4181,43287,43636,40533,1047,0.025830805,89794,2.215330718,255.8233618,724,38,126,758,69,896,0,725,1698,108,785,44,0,0,84,634,121,417,114,1375,424,576,610,791,0,544,208,502,282,413,74,13,106,0,107,0,150,156,46,29,104,16,334,164,114
191.5,698.41,,,1.14,22555,61962,0.364013428,624,6558,5.936718512,37,343,113,4091,41969,41239,38933,875,0.022474507,88392,2.270361904,257.7026239,668,193,44,446,141,1034,17,815,1270,127,1053,106,24,17,60,169,314,464,71,1371,383,751,501,891,0,744,257,460,199,409,10,152,81,151,0,13,0,0,0,0,45,0,474,171,135
192,698.91,,,1.24,23705,65668,0.360982518,628,6852,6.110478692,28,363,158,4040,42850,41372,41869,1204,0.028756359,89002,2.125725477,245.184573,646,261,32,621,194,768,0,803,1282,155,1065,25,122,9,137,492,367,464,134,1450,444,616,353,702,76,806,351,468,218,423,0,154,127,0,0,58,94,336,141,135,122,68,176,220,142
192.5,699.41,699.43,17.86,1.35,22026,62193,0.354155612,659,6791,5.760418201,69,341,116,4072,43135,40421,39119,662,0.016922723,86158,2.202459163,252.6627566,481,130,108,383,106,542,7,780,1171,0,908,61,0,12,140,322,277,356,44,1289,275,646,576,561,0,809,190,561,363,445,0,0,175,225,54,0,0,521,82,72,0,0,0,44,0
193,699.91,,,1.2,20382,63081,0.323108384,553,6396,6.094434021,53,344,217,4047,41693,41831,38980,1824,0.046793227,89589,2.298332478,260.4331395,784,133,100,548,77,989,0,716,1470,219,894,137,0,33,141,637,153,512,173,1725,379,857,1164,99,0,814,250,665,318,452,0,28,76,28,12,63,66,58,95,56,31,0,292,151,0
193.5,700.41,,,1.27,23101,62496,0.369639657,587,6648,6.256016847,76,300,60,3986,43254,42158,41590,932,0.022409233,89091,2.142125511,296.97,523,110,112,680,115,872,74,992,1587,86,894,11,109,52,15,595,98,387,108,1503,518,484,492,1004,0,810,320,408,269,286,19,0,116,0,0,14,55,0,21,0,62,48,447,58,38
194,700.91,,,1.24,22453,60068,0.373793035,561,6200,6.042258065,28,284,123,4084,41064,42030,37462,927,0.024745075,85742,2.288772623,301.9084507,530,85,100,535,129,965,0,799,1864,140,757,81,0,44,110,249,303,495,169,1512,306,794,592,805,0,1060,253,499,211,289,39,0,27,8,11,57,0,0,0,133,108,35,465,242,130
194.5,701.41,701.43,18.32,1.34,22825,61952,0.368430398,562,6759,5.90087291,13,290,71,4143,44042,42015,39884,1574,0.039464447,87905,2.204016648,303.1206897,578,137,7,591,81,952,0,731,1692,172,868,69,0,15,0,516,158,312,50,1494,380,584,599,965,0,917,156,582,274,544,0,77,169,61,0,0,0,31,38,75,115,0,288,160,143
195,701.91,,,1.25,21774,63166,0.344710762,649,7069,5.572924035,37,348,91,4087,43492,41152,39395,752,0.019088717,85947,2.181672801,246.9741379,649,176,75,618,125,707,12,716,1582,82,881,43,48,16,82,431,225,414,121,1528,312,788,677,1151,0,607,221,514,194,452,0,76,172,18,43,0,0,230,35,42,22,0,203,73,40
195.5,702.41,,,1.26,22193,61555,0.360539355,628,6748,5.757705987,63,329,181,4165,42487,42819,38853,1516,0.039018866,87652,2.255990528,266.4194529,642,120,51,540,100,810,0,719,1476,76,999,62,37,31,101,205,404,475,109,1400,451,658,762,774,0,807,317,565,237,440,0,57,104,63,0,0,0,147,0,94,133,6,261,199,0
196,702.91,,,1.26,21916,59795,0.36651894,550,6527,6.08365252,25,365,124,4064,41997,42429,39708,1164,0.029313992,88976,2.24075753,243.769863,594,0,80,702,117,588,0,787,1314,127,1085,0,8,26,45,324,322,472,140,1412,422,789,721,1130,0,627,94,545,170,403,0,43,95,0,14,0,79,396,67,66,76,61,144,36,44
196.5,703.41,703.43,21.55,1.09,22573,67505,0.334390045,573,6517,5.925886144,52,359,122,3889,41705,41932,38619,1874,0.048525337,90031,2.331261814,250.7827298,719,144,0,532,180,792,0,567,1191,90,858,108,50,66,95,404,126,561,130,1452,431,654,665,557,0,851,186,505,228,525,0,40,80,31,43,6,51,137,0,112,90,78,298,96,0
197,703.91,,,1.4,22350,66413,0.336530499,553,6753,5.753590997,52,365,194,3930,40390,41777,38854,1040,0.026766871,88977,2.290034488,243.7726027,521,14,107,576,117,667,0,733,1231,107,1087,109,87,85,204,748,0,622,195,1452,442,747,613,1157,38,769,364,455,176,328,263,0,0,0,0,89,97,352,23,0,0,0,31,26,132
197.5,704.41,,,1.33,21824,65819,0.331575989,638,6996,5.534162379,73,385,126,4146,42665,41189,38717,1399,0.036133998,89627,2.31492626,232.7974026,537,0,0,688,156,1088,40,740,1262,92,810,59,122,52,140,226,306,484,146,1563,531,494,826,488,0,999,210,605,288,489,239,6,0,0,46,101,85,0,0,0,0,0,430,32,17
198,704.91,,,1.26,21949,61542,0.356650743,596,6938,5.82502162,55,302,141,4081,42753,42677,40414,1294,0.032018607,90678,2.243727421,300.2582781,543,171,104,564,101,832,0,774,1307,135,1149,74,42,11,82,540,210,437,179,1558,331,822,645,790,0,1035,387,593,320,352,0,58,63,47,0,29,0,151,11,0,17,33,142,123,59
198.5,705.41,705.43,24.59,1.2,20792,60917,0.341316874,631,6986,5.749642141,53,290,75,4008,41780,42633,40167,1535,0.03821545,91597,2.280404312,315.8517241,705,94,81,697,127,872,60,708,1200,225,748,133,42,25,77,656,85,478,80,1403,476,632,938,235,0,766,394,615,359,375,125,0,0,0,12,93,98,171,20,44,12,48,391,234,193
199,705.91,,,1.2,21986,59430,0.369947838,679,7101,5.739895789,0,289,227,4212,43008,44483,40759,1224,0.030030177,90412,2.218209475,312.8442907,668,79,108,564,89,630,31,770,1142,180,1099,103,156,0,26,264,328,504,104,1505,499,609,505,596,0,707,248,636,291,459,38,21,148,14,78,0,118,471,118,35,87,0,0,0,119
199.5,706.41,,,1.24,22056,60285,0.365862155,565,6701,5.877480973,97,308,230,4031,42326,42269,39385,864,0.021937286,87710,2.226989971,284.7727273,561,182,197,803,95,1073,42,742,1280,183,1050,209,76,59,77,470,124,573,224,1483,417,622,607,996,0,728,452,514,271,226,0,0,243,0,27,0,56,0,46,0,146,44,420,156,40
200,706.91,,,1.21,21538,61688,0.34914408,511,6757,5.960485423,46,380,170,4161,42525,42125,40275,1541,0.038261949,88010,2.185226567,231.6052632,755,98,168,598,132,724,0,830,1284,182,1108,107,0,6,88,171,327,536,133,1519,508,541,558,126,0,665,360,524,337,294,206,12,0,0,0,151,53,300,114,0,0,116,93,19,0
200.5,707.41,707.43,24.51,1.13,21508,62587,0.34364964,573,6444,6.032122905,0,349,267,3965,42386,42485,38871,1346,0.034627357,88045,2.265056212,252.277937,725,16,63,628,58,720,17,872,1344,214,925,91,48,55,80,530,104,479,123,1575,481,729,782,449,0,596,155,472,218,353,124,6,17,0,82,85,172,349,0,0,0,82,348,142,123
201,707.91,,,1.08,23204,63895,0.363158307,526,6661,6.008707401,51,327,177,3925,42993,42419,40024,1089,0.027208675,91970,2.297871277,281.2538226,735,156,46,766,95,904,0,708,1099,49,940,0,65,22,112,509,130,557,121,1579,514,544,519,788,0,653,285,519,207,504,0,56,36,0,26,21,85,243,14,0,79,25,257,106,63
201.5,708.41,,,1.2,21570,64290,0.335510966,527,6292,5.996662428,47,291,102,3987,41748,41638,37731,1288,0.034136387,88617,2.348652302,304.5257732,584,186,102,560,128,642,0,848,1184,129,965,31,0,17,0,228,311,397,93,1328,355,725,890,729,0,623,270,445,327,273,0,0,180,5,10,0,174,330,24,91,182,125,183,162,0
202,708.91,,,1.21,22595,60278,0.374846544,549,5889,6.210222449,38,336,114,4175,40451,42188,36572,988,0.027015203,84988,2.323854315,252.9404762,530,116,103,526,84,966,0,839,1200,232,817,28,71,0,102,385,233,519,167,1461,439,726,595,490,0,1129,278,487,202,289,0,0,110,42,0,0,0,0,0,0,0,0,476,102,0
202.5,709.41,709.43,25.42,1.37,23257,65285,0.356238033,589,6609,6.094568013,58,303,77,4189,43635,43618,40279,823,0.020432483,90895,2.256634971,299.9834983,711,77,79,761,83,650,83,763,1236,96,1055,4,0,0,54,335,231,452,54,1342,506,542,478,63,0,567,238,523,399,343,127,0,0,0,30,144,152,414,161,0,0,0,29,0,82
203,709.91,,,1.27,21384,63600,0.336226415,525,6399,6.277074543,28,242,118,4114,39987,42340,40167,1192,0.029676102,85108,2.118853785,351.6859504,472,15,29,584,114,637,0,696,1183,210,930,191,0,47,15,571,95,566,116,1503,373,690,776,804,0,882,32,642,281,471,0,0,117,0,0,0,50,299,49,0,149,0,108,55,206
203.5,710.41,,,1.44,20389,65803,0.309849095,452,6179,6.168635702,27,350,138,4082,39413,42257,38116,717,0.018810998,84175,2.208390177,240.5,439,96,94,605,96,589,0,756,1287,110,974,0,0,44,85,562,138,488,150,1475,259,812,1051,421,0,877,112,625,413,370,0,0,168,0,0,0,20,368,0,35,30,69,10,148,0
204,710.91,,,1.36,20910,62833,0.332786911,620,7150,5.403916084,62,335,170,4024,42650,43467,38638,1494,0.038666598,88399,2.287877219,263.8776119,594,221,117,668,137,755,0,807,1248,73,1002,39,0,20,75,661,143,483,84,1404,437,744,686,961,0,542,325,464,279,395,0,20,278,0,0,0,116,395,110,101,161,131,127,149,46
204.5,711.41,711.43,27.85,1.19,22403,62370,0.359195126,517,6869,5.446644344,42,322,146,4006,41369,42080,37413,1193,0.031887312,87683,2.343650603,272.3074534,744,75,49,587,112,1037,61,763,1247,95,942,134,31,34,115,533,123,549,143,1700,478,708,585,561,12,874,254,619,265,450,29,46,0,0,0,0,79,0,0,0,0,0,553,92,137
205,711.91,,,1.21,23140,58910,0.39280258,627,6831,5.487483531,22,319,230,4058,41291,41813,37485,533,0.014219021,89324,2.382926504,280.0125392,612,149,0,564,118,822,139,749,1292,143,842,99,6,64,140,549,160,533,174,1449,421,716,435,643,8,822,218,525,252,504,0,47,112,0,0,0,37,167,63,0,17,48,255,184,183
205.5,712.41,,,1.22,20726,63402,0.326898205,544,5890,6.430730051,52,292,83,4166,38924,38971,37877,1753,0.046281384,85189,2.249095757,291.7431507,736,124,24,648,103,522,0,741,1207,31,923,86,64,17,83,593,8,531,143,1462,462,636,781,0,23,780,286,470,339,357,0,12,69,0,7,5,57,569,0,30,74,0,0,131,85
206,712.91,,,1.5,22950,66133,0.347027959,586,6721,6.067995834,39,378,160,4022,42671,43101,40783,1639,0.040188314,91810,2.251183091,242.8835979,618,137,42,666,116,1063,0,762,1321,131,919,134,141,29,47,558,310,551,197,1665,468,750,595,1078,0,976,257,583,210,453,0,22,197,0,54,0,51,26,0,103,68,18,544,103,0
206.5,713.41,713.43,28.45,1.25,22971,67784,0.338885283,590,7106,5.420208275,34,323,92,4089,42915,44282,38516,1077,0.027962405,90206,2.342039672,279.2755418,628,135,85,710,147,662,0,674,1221,158,1042,52,0,0,45,414,351,460,163,1487,352,807,669,481,0,751,161,456,266,494,0,42,81,0,36,13,108,504,78,41,85,0,0,0,51
207,713.91,,,1.81,23760,64727,0.367080198,657,6558,5.527904849,65,346,63,4098,40188,42984,36252,1299,0.035832506,85736,2.365000552,247.7919075,613,118,151,841,128,994,12,773,1306,191,769,26,128,0,114,1054,0,469,35,1668,467,460,482,848,0,1152,310,426,140,209,0,63,135,0,0,0,112,0,0,0,117,73,492,112,0
207.5,714.41,,,1.69,23295,61710,0.377491492,602,6568,5.58998173,28,345,100,4044,40694,41400,36715,1496,0.040746289,86602,2.358763448,251.0202899,489,75,122,465,127,1108,88,773,1341,186,633,135,0,53,114,1089,0,455,125,1891,351,650,658,661,0,1334,302,694,309,182,0,0,89,6,0,0,0,0,0,0,65,97,517,182,29
208,714.91,,,1.2,23197,65746,0.352827548,517,6394,6.008601814,43,308,134,4009,42069,42310,38419,627,0.01632005,87929,2.288685286,285.4837662,672,89,0,751,105,1050,0,761,1194,125,808,103,145,47,92,487,105,556,115,1523,487,619,483,1075,0,744,156,445,148,458,8,10,40,0,10,0,32,0,0,21,17,0,574,201,17
208.5,715.41,715.43,27.59,1.28,21541,64405,0.33446161,510,6413,6.193357243,42,309,102,4024,41672,43569,39718,1818,0.045772698,89300,2.248350874,288.9967638,618,129,126,555,21,638,0,779,1350,143,980,92,0,46,55,438,258,458,167,1514,378,744,963,590,0,786,243,517,333,365,0,0,122,48,48,0,29,423,56,145,38,0,85,0,39
209,715.91,,,1.27,22209,64142,0.346247389,549,6584,5.774301337,0,304,122,4019,41377,44358,38018,1030,0.02709243,88107,2.317507496,289.8256579,539,109,187,541,113,1217,22,730,1316,33,684,44,0,0,31,568,152,588,79,1453,374,547,770,1022,0,858,404,599,331,337,5,0,121,49,0,11,15,0,19,24,35,0,554,0,33
209.5,716.41,,,1.26,23428,66158,0.35412195,554,6780,5.903834808,52,317,105,3905,41790,42282,40028,1562,0.039022684,89822,2.243979215,283.3501577,591,78,166,572,106,1014,7,824,1350,110,664,72,0,67,59,491,212,487,145,1622,435,779,492,878,14,919,482,485,406,189,235,0,0,0,0,90,124,38,62,0,50,0,246,136,129
210,716.91,,,1.31,22653,65787,0.344338547,612,7099,5.567262995,13,367,169,3916,43189,44683,39522,1657,0.041926016,88618,2.242244826,241.4659401,685,114,116,745,147,876,51,823,1351,109,643,106,0,6,137,624,76,464,159,1437,362,565,459,502,0,845,385,573,357,377,0,0,110,0,52,0,180,89,103,0,138,95,314,217,73
210.5,717.41,717.43,25.76,1.22,21331,59439,0.358872121,560,7139,5.381846197,35,331,80,3979,43293,43345,38421,1175,0.030582234,88768,2.310403165,268.1812689,521,160,170,671,138,769,0,687,1229,96,771,14,57,59,71,178,369,549,91,1446,392,642,502,724,0,810,278,497,344,281,0,0,116,0,0,0,18,189,0,13,43,0,184,53,102
211,717.91,,,1.32,22538,67684,0.332988594,694,7579,5.166116902,19,309,51,4106,43272,43584,39154,1176,0.030035245,87877,2.244393932,284.3915858,616,235,114,685,122,634,0,796,1291,106,692,37,27,12,51,573,48,412,113,1417,358,622,561,671,0,627,264,495,315,440,0,0,162,0,57,0,146,357,37,0,89,94,322,139,169
211.5,718.41,,,1.31,22182,69071,0.321147804,689,7539,5.20599549,49,324,85,4111,43360,44085,39248,1488,0.03791276,90973,2.317901549,280.7808642,484,148,59,462,131,670,32,886,1330,165,957,127,123,12,101,416,159,558,149,1424,489,670,652,846,0,880,369,514,373,372,0,24,149,70,62,0,142,458,73,0,163,113,44,191,108
212,718.91,,,1.28,21319,61808,0.344922987,744,8171,4.717415249,42,368,115,4178,43942,43635,38546,905,0.023478441,88934,2.307217351,241.6684783,681,117,77,584,96,618,0,842,1235,231,876,0,0,0,46,472,182,451,99,1457,362,688,681,639,0,985,271,432,194,379,0,34,90,33,28,0,0,324,6,0,121,0,127,94,32
212.5,719.41,719.43,24.6,1.26,22368,58111,0.384918518,709,7950,4.810440252,64,346,81,4009,42098,41658,38243,1734,0.045341631,86028,2.249509714,248.6358382,649,143,0,582,58,759,0,787,1264,247,954,93,62,32,109,568,148,439,102,1368,400,616,377,535,70,731,167,340,171,372,84,11,96,0,0,0,124,127,10,40,39,0,457,156,135
213,719.91,,,1.3,20342,63332,0.321196236,659,8110,4.766091245,57,323,41,3909,43092,43297,38653,1336,0.034563941,90647,2.345147854,280.6408669,609,109,81,615,36,1180,49,718,1106,255,670,41,45,25,72,516,249,426,107,1395,426,678,952,657,0,844,269,499,229,319,0,0,41,0,0,0,72,0,0,0,55,0,501,148,102
213.5,720.41,,,1.29,21473,56946,0.377076529,658,7779,5.198611647,58,300,96,4041,41304,43931,40440,1343,0.033209693,87370,2.160484669,291.2333333,748,42,33,526,112,876,0,631,1210,120,685,65,0,65,110,524,110,530,129,1372,481,453,522,408,0,788,242,494,296,414,125,12,9,0,0,15,33,64,0,182,0,0,395,116,14
