Position,Relative_Position,Position,Mag_Sus,MSE,Incoherence,Coherence,Inc/Coh,Al,Si,Si/Ti,P,S,Cl,Ar,K,Ca,Ti,Mn,Mn/Ti,Fe,Fe/Ti,Fe/S,Co,Ni,Cu,Zn,Ga,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Pd,Cd,In,Sn,Sb,Cs,Ba,La,Pr,Nd,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Hf,W,Re,Os,Au,Hg,Pb,Bi,Po,At,Ra,Ac,Th,U
40.5,547.41,547.43,14.99,1.32,20799,57407,0.362307733,465,5480,6.492335766,0,375,37,4018,37985,37740,35578,1576,0.044297037,135956,3.821350273,362.5493333,761,81,0,516,20,689,0,615,802,47,603,16,24,23,22,393,107,375,109,1322,454,497,773,1272,0,1642,190,556,253,441,0,0,105,0,10,27,109,350,90,121,0,75,18,98,67
41,547.91,,,1.26,19613,63614,0.308312636,480,5389,6.609389497,47,485,103,3900,37617,37663,35618,1387,0.038940985,131125,3.681425122,270.3608247,905,45,0,472,85,687,0,720,805,83,698,97,0,58,74,608,96,508,203,1493,382,735,896,1010,239,1286,235,408,142,538,41,60,0,0,83,88,171,218,65,0,0,5,210,74,16
41.5,548.41,,,1.23,20461,62589,0.326910479,474,5353,6.620212965,0,372,58,3993,37464,37061,35438,1677,0.047322084,129175,3.645098482,347.2446237,736,61,0,513,59,618,0,637,884,128,573,39,0,0,0,413,196,406,14,1235,394,717,605,1043,11,1283,232,511,251,452,92,18,0,0,99,177,249,354,132,126,86,14,146,74,64
42,548.91,,,1.33,21128,58026,0.364112639,441,5417,6.402990585,59,413,112,3999,36861,36820,34685,1114,0.03211763,130850,3.772524146,316.8280872,804,94,0,457,149,913,142,666,827,33,525,223,0,19,88,721,11,498,160,1482,474,576,734,1007,156,1129,276,495,323,467,0,0,99,0,94,0,124,75,138,0,76,36,313,151,91
42.5,549.41,549.43,14.95,1.36,20886,59130,0.353221715,482,5375,6.484093023,59,432,76,3896,37153,36045,34852,1239,0.035550327,129990,3.729771606,300.9027778,886,50,0,413,89,1157,0,548,707,72,385,0,150,10,15,440,254,292,0,1322,434,604,479,589,46,1016,275,602,352,480,64,0,0,0,0,150,106,0,30,110,68,0,595,134,0
43,549.91,,,1.33,21202,58863,0.360192311,437,5369,6.446451853,92,453,51,3956,37866,35971,34611,745,0.021524949,133745,3.864233914,295.2428256,1009,137,23,576,119,999,0,527,681,87,530,32,118,7,30,355,188,386,84,1245,281,699,417,501,165,1101,186,499,280,492,0,77,132,0,45,0,251,0,137,91,45,0,370,124,27
43.5,550.41,,,1.5,21452,59863,0.358351569,459,5297,6.600717387,84,413,75,3984,36952,36369,34964,1129,0.032290356,137326,3.927639858,332.5084746,801,0,0,282,43,972,41,607,812,102,434,34,0,0,78,493,236,293,54,1301,460,576,570,1130,167,1134,304,382,229,325,191,24,0,147,0,150,4,0,0,0,0,48,469,87,123
44,550.91,,,1.31,20719,58804,0.352339977,437,5436,6.472958057,63,418,34,3931,37102,35959,35187,1419,0.040327394,139451,3.963139796,333.6148325,938,130,0,399,43,1172,20,565,768,133,442,167,219,0,61,714,0,366,132,1230,304,820,653,846,192,1311,412,517,302,391,0,67,19,0,0,0,91,0,7,0,113,0,443,224,41
44.5,551.41,551.43,14.88,1.34,21358,57918,0.368762734,465,5443,6.371853757,37,445,58,3952,37027,34394,34682,1552,0.044749438,136042,3.922553486,305.7123596,882,85,0,388,76,777,67,487,792,180,589,0,35,60,56,339,321,291,140,1378,498,602,595,1012,206,1295,464,410,260,330,78,91,0,0,0,132,108,318,128,96,0,32,83,55,90
45,551.91,,,1.22,20534,57184,0.359086458,533,5676,6.292283298,65,425,48,3945,37118,34678,35715,1148,0.032143357,137238,3.842587148,322.9129412,1076,100,0,253,30,841,0,436,758,126,571,50,69,75,20,518,116,279,118,1404,422,724,622,1375,176,1139,265,441,124,429,55,124,0,121,0,78,107,143,20,159,0,0,173,130,103
